p	q	r	Mag Yaw
-0.00	0.00	0.00	48.45
-0.00	0.00	0.00	48.45
-0.00	0.00	0.00	48.45
-0.00	0.00	0.00	48.45
-0.00	0.00	0.00	48.45
-0.00	0.00	0.00	48.45
-0.00	0.00	0.00	48.45
-0.00	-0.00	-0.00	48.45
-0.00	-0.00	-0.00	48.45
-0.00	-0.00	-0.00	48.45
-0.00	-0.00	-0.00	48.45
-0.00	0.00	-0.00	47.42
-0.00	0.00	-0.00	46.73
-0.00	0.00	-0.00	46.28
-0.00	0.00	-0.00	45.99
-0.00	0.00	-0.00	45.79
-0.00	0.00	-0.00	45.67
-0.00	0.00	-0.00	45.59
-0.00	0.00	-0.00	45.53
-0.00	0.00	0.00	45.50
-0.00	0.00	0.00	45.48
-0.00	0.00	0.00	45.46
-0.00	0.00	0.00	45.45
-0.00	0.00	0.00	45.45
-0.00	0.00	0.00	45.44
-0.00	-0.00	0.00	45.44
-0.00	-0.00	0.00	45.44
-0.00	-0.00	0.00	45.44
-0.00	-0.00	-0.00	45.44
-0.00	-0.00	-0.00	45.44
-0.00	-0.00	-0.00	45.44
-0.00	-0.00	-0.00	45.44
-0.00	-0.00	-0.00	45.44
-0.00	-0.00	-0.00	45.44
-0.00	-0.00	-0.00	45.44
-0.00	0.00	-0.00	45.44
-0.00	0.00	-0.00	45.44
-0.00	0.00	-0.00	45.44
-0.00	0.00	0.00	45.44
-0.00	0.00	0.00	45.44
-0.00	0.00	0.00	45.44
-0.00	0.00	0.00	45.44
-0.00	0.00	0.00	45.44
-0.00	0.00	-0.00	48.02
-0.00	-0.00	-0.00	49.78
-0.00	-0.00	-0.00	50.96
-0.00	-0.00	-0.00	51.75
-0.00	-0.00	-0.00	52.26
-0.00	-0.00	-0.00	52.60
-0.00	-0.00	-0.00	52.82
-0.00	0.00	-0.00	52.96
-0.00	0.00	-0.00	53.06
-0.00	0.00	-0.00	53.12
-0.00	0.00	-0.00	53.16
-0.00	-0.00	-0.00	53.18
-0.00	-0.00	-0.00	53.20
-0.00	-0.00	-0.00	53.21
-0.00	-0.00	-0.00	53.22
-0.00	-0.00	-0.00	53.22
0.00	-0.00	-0.00	53.23
0.00	-0.00	-0.00	53.23
0.00	-0.00	-0.00	53.23
0.00	-0.00	0.00	53.23
0.00	-0.00	0.00	53.23
0.00	0.00	0.00	53.23
0.00	0.00	0.00	53.23
0.00	0.00	0.00	53.23
0.00	0.00	0.00	53.23
0.00	0.00	0.00	53.23
0.00	0.00	0.00	53.23
-0.00	0.00	0.00	53.23
-0.00	0.00	0.00	53.23
-0.00	0.00	0.00	53.23
-0.00	0.00	0.00	53.23
-0.00	0.00	0.00	53.23
-0.00	0.00	0.00	50.36
-0.00	0.00	0.00	48.69
-0.00	0.00	0.00	47.69
-0.00	0.00	0.00	47.06
-0.00	0.00	0.00	46.66
-0.00	-0.00	0.00	46.41
0.00	-0.00	0.00	46.25
0.00	-0.00	0.00	46.15
0.00	-0.00	0.00	46.08
0.00	-0.00	0.00	46.04
0.00	-0.00	0.00	46.01
0.00	-0.00	0.00	45.99
0.00	0.00	0.00	45.98
0.00	0.00	0.00	45.97
0.00	0.00	0.00	45.96
0.00	0.00	0.00	45.96
-0.00	-0.00	0.00	45.96
-0.00	-0.00	-0.00	45.96
-0.00	-0.00	-0.00	45.96
-0.00	-0.00	-0.00	45.96
-0.00	-0.00	-0.00	45.96
-0.00	-0.00	-0.00	45.96
-0.00	-0.00	-0.00	45.96
-0.00	-0.00	-0.00	45.96
-0.00	-0.00	-0.00	45.96
-0.00	-0.00	-0.00	45.96
-0.00	-0.00	-0.00	45.96
-0.00	-0.00	-0.00	45.96
-0.00	-0.00	-0.00	45.96
-0.00	-0.00	-0.00	45.96
-0.00	-0.00	-0.00	45.96
-0.00	-0.00	-0.00	45.96
-0.00	-0.00	0.00	45.96
0.00	-0.00	0.00	45.96
0.00	-0.00	0.00	45.96
0.00	0.00	0.00	45.96
0.00	0.00	0.00	45.96
-0.00	0.00	-0.00	45.62
-0.00	0.00	-0.00	45.39
-0.00	0.00	-0.00	45.24
-0.00	0.00	-0.00	45.13
-0.00	0.00	-0.00	45.07
-0.00	0.00	-0.00	45.02
-0.00	0.00	-0.00	44.99
-0.00	0.00	-0.00	44.97
-0.00	0.00	-0.00	44.96
-0.00	0.00	-0.00	44.95
-0.00	0.00	-0.00	44.95
-0.00	0.00	-0.00	44.95
-0.00	0.00	-0.00	44.94
-0.00	0.00	-0.00	44.94
-0.00	0.00	-0.00	44.94
-0.00	0.00	-0.00	44.94
-0.00	0.00	-0.00	44.94
-0.00	0.00	-0.00	44.94
-0.00	0.00	-0.00	44.94
-0.00	0.00	-0.00	44.94
-0.00	0.00	-0.00	44.94
-0.00	0.00	-0.00	44.94
-0.00	0.00	-0.00	44.94
-0.00	0.00	-0.00	44.94
-0.00	0.00	-0.00	44.94
-0.00	0.00	-0.00	44.94
-0.00	0.00	-0.00	44.94
-0.00	0.00	-0.00	44.94
-0.00	0.00	-0.00	44.94
-0.00	0.00	-0.00	44.94
-0.00	0.00	-0.00	44.94
-0.00	0.00	-0.00	44.94
0.00	0.00	-0.00	48.58
0.00	0.00	-0.00	51.09
0.00	0.00	-0.00	52.79
0.00	0.00	-0.00	53.92
0.00	0.00	-0.00	54.66
0.00	0.00	-0.00	55.15
-0.00	0.00	-0.00	55.47
-0.00	0.00	-0.00	55.68
-0.00	0.00	-0.00	55.81
-0.00	0.00	-0.00	55.90
-0.00	0.00	-0.00	55.96
-0.00	0.00	-0.00	56.00
-0.00	0.00	-0.00	56.02
-0.00	0.00	-0.00	56.04
-0.00	0.00	-0.00	56.05
-0.00	0.00	-0.00	56.05
-0.00	0.00	-0.00	56.06
-0.00	0.00	-0.00	56.06
0.00	0.00	-0.00	56.06
0.00	0.00	-0.00	56.06
0.00	0.00	-0.00	56.06
0.00	0.00	-0.00	56.07
-0.00	0.00	0.00	56.07
-0.00	0.00	0.00	56.07
-0.00	0.00	0.00	56.07
-0.00	0.00	0.00	56.07
-0.00	0.00	0.00	56.07
-0.00	0.00	0.00	56.07
-0.00	0.00	0.00	56.07
-0.00	0.00	0.00	56.07
-0.00	0.00	0.00	56.07
-0.00	0.00	0.00	56.07
-0.00	0.00	0.00	56.07
-0.00	0.00	0.00	53.44
-0.00	0.00	0.00	51.83
-0.00	0.00	0.00	50.81
0.00	0.00	0.00	50.17
0.00	0.00	0.00	49.76
0.00	0.00	0.00	49.49
0.00	0.00	0.00	49.32
0.00	0.00	0.00	49.21
0.00	0.00	0.00	49.14
0.00	0.00	0.00	49.09
0.00	0.00	0.00	49.06
0.00	-0.00	0.00	49.04
-0.00	-0.00	0.00	49.03
-0.00	-0.00	0.00	49.02
-0.00	-0.00	0.00	49.02
-0.00	-0.00	0.00	49.01
-0.00	-0.00	0.00	49.01
-0.00	-0.00	0.00	49.01
-0.00	-0.00	0.00	49.01
-0.00	0.00	0.00	49.01
-0.00	0.00	0.00	49.01
-0.00	0.00	0.00	49.01
-0.00	0.00	-0.00	49.01
-0.00	0.00	-0.00	49.01
-0.00	0.00	-0.00	49.01
0.00	0.00	-0.00	49.01
-0.00	0.00	-0.00	49.01
-0.00	0.00	-0.00	49.01
-0.00	0.00	0.00	49.01
-0.00	0.00	0.00	49.01
-0.00	0.00	0.00	49.01
-0.00	0.00	0.00	49.01
-0.00	0.00	-0.00	49.06
-0.00	0.00	-0.00	49.10
-0.00	0.00	-0.00	49.13
-0.00	0.00	-0.00	49.14
-0.00	0.00	-0.00	49.15
-0.00	-0.00	-0.00	49.16
-0.00	-0.00	-0.00	49.17
-0.00	-0.00	-0.00	49.17
-0.00	-0.00	-0.00	49.17
-0.00	-0.00	-0.00	49.17
-0.00	-0.00	-0.00	49.17
-0.00	-0.00	-0.00	49.17
-0.00	-0.00	-0.00	49.17
-0.00	-0.00	-0.00	49.17
-0.00	-0.00	-0.00	49.17
-0.00	-0.00	-0.00	49.17
-0.00	-0.00	-0.00	49.17
-0.00	0.00	-0.00	49.17
-0.00	0.00	-0.00	49.17
-0.00	0.00	-0.00	49.17
-0.00	0.00	-0.00	49.17
-0.00	0.00	-0.00	49.17
-0.00	0.00	-0.00	49.17
-0.00	0.00	-0.00	49.17
-0.00	-0.00	-0.00	49.17
-0.00	-0.00	-0.00	49.17
-0.00	-0.00	-0.00	49.17
-0.00	-0.00	-0.00	49.17
-0.00	-0.00	-0.00	49.17
-0.00	-0.00	-0.00	49.17
-0.00	-0.00	-0.00	49.17
-0.00	-0.00	-0.00	49.17
0.00	-0.00	-0.00	49.17
0.00	-0.00	-0.00	49.17
0.00	-0.00	-0.00	49.17
0.00	-0.00	-0.00	49.17
0.00	-0.00	-0.00	49.17
0.00	-0.00	-0.00	51.18
0.00	-0.00	-0.00	52.53
